"id";"sritieskodas";"sritis";"forma";"vykdytojas";"projektas";"suma";"nefinansuojamadalis"
"756";"1.19";"kultūros paveldas";"VšĮ";"S. Dariaus ir S. Girėno aerodromas";"S. Dariaus ir S. Girėno aerodromo istorinės- kultūrinės aplinkos pristatymas, informacijos sklaida";"3000.00";
"757";"1.11";"muzika";"BĮ";"Šakių kultūros centras";"Tarptautinė trimitininkų savaitė Šakiuose";"2000.00";
"758";"1.14";"etninė kultūra ir tautodailė";"BĮ";"Šakių kultūros centras";"Lietuvos folkloro festivalis - šienapjūtės papročiai ir tradicijos sambūryje ""Pjaun broliukai lygioj lankoj""";"4400.00";
"759";"1.16";"biblioteka";"BĮ";"Šakių rajono savivaldybės viešoji biblioteka";"Laisvės kovų atmintis";"2000.00";
"760";"1.14";"etninė kultūra ir tautodailė";"Asociacija";"Šakių tautodailininkų bendrija ""Dailius""";"Kūrybinis tautodailininkų pleneras ZYPLIŲ ŽIOGAI";"3500.00";
"761";"1.18";"muziejus";"VšĮ";"Sakralus menas";"Mobiliosios programėlės ""Katedra. Varpinė. Lobynas"" sukūrimas";"10000.00";
"762";"1.18";"muziejus";"VšĮ";"Sakralus menas";"Susimąstęs Kristus: nuo religinio atvaizdo ii tautos simbolio Rūpintojėlio";"8000.00";"Administravimo išlaidos"
"763";"1.18";"muziejus";"VšĮ";"Sakralus menas";"Programos planšetiniam kompiuteriui ""Senieji itališki vargonai"" sukūrimas";"7000.00";
"764";"1.11";"muzika";"BĮ";"Šalčininkų rajono savivaldybės kultūros centras";"Lietuviškos tradicijos Šalčininkuose";"2000.00";
"765";"1.15";"mėgėjų menas";"BĮ";"Šaukėnų kultūros centras";"Nekomercinio kino festivalis ""Žemaičių kinas""";"2000.00";
"766";"1.12";"literatūra";"VšĮ";"Savaitraštis Nemunas";"Savitumo paieškos ir refleksija: jaunieji";"6000.00";
"767";"1.16";"biblioteka";"Asociacija";"Savivaldybių viešųjų bibliotekų asociacija";"Tarptautiniai patirties mainai: viešųjų bibliotekų darbuotojų gebėjimų tobulinimas";"9000.00";
"768";"1.11";"muzika";"VšĮ";"Sena muzika";"Senosios muzikos sklaida Lietuvos regionuose (senosios muzikos ansamblio Arcadia consort koncertinės ir edukacinės programos)";"3000.00";
"769";"1.14";"etninė kultūra ir tautodailė";"BĮ";"Šiaulių ""Aušros"" muziejus";"Liaudies menas - Dievui ir žmogui";"3000.00";
"770";"1.18";"muziejus";"BĮ";"Šiaulių ""Aušros"" muziejus";"Kultūros paveldo ir edukacinių veiklų viešinimas. Teigiamo Šiaulių ""Aušros"" muziejaus įvaizdžio formavimas";"1800.00";
"771";"1.2";"tarpsritiniai projektai";"BĮ";"Šiaulių ""Aušros"" muziejus";"XII tarptautinis Chaimo Frenkelio vilos vasaros festivalis";"8000.00";"Ilgalaikio materialiojo ir nematerialiojo turto įsigijimo išlaidos"
"772";"1.16";"biblioteka";"BĮ";"Šiaulių apskrities Povilo Višinskio viešoji biblioteka";"Skaitymas ir skaitymo skatinimas: laikmečio aktualijos, patirtys ir galimybės";"3000.00";
"773";"1.16";"biblioteka";"BĮ";"Šiaulių apskrities Povilo Višinskio viešoji biblioteka";"Susitikimai. Auksinių scenos kryžių laureatai Šiaulių regiono bibliotekose (tęstinis)";"3000.00";
"774";"1.16";"biblioteka";"BĮ";"Šiaulių apskrities Povilo Višinskio viešoji biblioteka";"Prisiliesk prie dailininko Gerardo Bagdonavičiaus sėkmės";"2000.00";
