"id";"sritieskodas";"sritis";"forma";"vykdytojas";"projektas";"suma";"nefinansuojamadalis"
"1";"1.2";"tarpsritiniai projektai";"VšĮ";"""Ramybės"" kultūros centras";"Palanga - Vilniaus satelitas";"4700.00";"Ilgalaikio materialiojo ir nematerialiojo turto įsigijimo išlaidos"
"2";"1.12";"literatūra";"UAB";"""Versus aureus"" leidykla";"Joachimo Lelewelio knygos ""Dvejetas bibliografinių knygų, II tomas"" leidyba";"4500.00";
"3";"1.12";"literatūra";"UAB";"""Versus aureus"" leidykla";"Mykolo Riomerio knygos ""Dienoraštis, kn. 7"" leidyba";"4500.00";
"4";"1.12";"literatūra";"UAB";"""Versus aureus"" leidykla";"A. ir J. Mekų knygos ""Knyga apie karalius ir žmones"" leidyba";"2000.00";
"5";"1.19";"kultūros paveldas";"UAB";"""Versus aureus"" leidykla";"Vlado Drėmos knygos ""Vilniaus amatininkai XVI-XIX a."" leidyba";"9000.00";
"6";"1.14";"etninė kultūra ir tautodailė";"BĮ";"A. Baranausko ir A.Vienuolio- Žukausko memorialinis muziejus";"Etninė kultūra respublikinėje šventėje ""Bėk, bėk, žirgeli""";"6000.00";"Svetainės atnaujinimo išlaidos"
"7";"1.18";"muziejus";"BĮ";"A. Baranausko ir A.Vienuolio- Žukausko memorialinis muziejus";"Siauruko muziejus - technikos atradimai kiekvienam";"16000.00";
"8";"1.18";"muziejus";"BĮ";"A. Baranausko ir A.Vienuolio- Žukausko memorialinis muziejus";"Antanui Baranauskui - 180: Tokie tai šiandien stebuklai pasdarė";"10000.00";
"9";"1.18";"muziejus";"BĮ";"A. Baranausko ir A.Vienuolio- Žukausko memorialinis muziejus";"""Edukacinis eksperimentas: tvirti kadaise buvo Vorutos pilėnai""";"9000.00";
"10";"1.12";"literatūra";"IĮ";"A. Žandario įmonė";"Knyga: Libertas Klimka ""Rimtos, juokingos ir graudžios senojo Vilniaus istorijos""";"4500.00";
"11";"1.12";"literatūra";"IĮ";"A. Žandario įmonė";"Knyga: Amin Maalouf ""Pasiklydę""";"4100.00";
"12";"1.12";"literatūra";"IĮ";"A. Žandario įmonė";"Knyga: Roland Barthes ""Meilės diskurso fragmentai""";"3600.00";
"13";"1.12";"literatūra";"IĮ";"A. Žandario įmonė";"Knyga: Salemonas Paltanavičius ""Dėdės Debesėlio atradimai + CD";"3500.00";
"14";"1.14";"etninė kultūra ir tautodailė";"IĮ";"A. Žandario įmonė";"Knygos sud. Dalia Vaicenavičienė, dailininkė Ingrida Umbrasaitė ""Gandrai, gandrai, pasuk ratą"" + CD leidyba";"4500.00";
"15";"1.11";"muzika";"Asociacija";"Academia Salensis";"Salų muzikos festivalis 2015";"3800.00";
"16";"1.3";"dailė";"VšĮ";"Actus Musicus";"Vilniaus gatvės meno festivalis 2015";"8000.00";
"17";"1.9";"muzikinis teatras";"Asociacija";"Agnus OK";"Modernus miuziklas vaikams, pagal Roko Radzevičiaus pasaką ""Karalaitė Gabrielė""";"8000.00";
"18";"1.2";"tarpsritiniai projektai";"Asociacija";"Aikas Žado";"Gyvas muziejus Aikas Žado: pažintinis stalas";"2000.00";
"19";"1.11";"muzika";"Tradicinė ";"Akmenės Šv. Onos parapija";"Vėl kviečia vargonai";"1750.00";
"20";"1.2";"tarpsritiniai projektai";"Asociacija";"Alt Events";"Muzikos festivalis ""Velnio akmuo"" 2015";"10000.00";
"21";"1.3";"dailė";"BĮ";"Alytaus dailės mokykla";"DAIlės paroDA";"2000.00";
"22";"1.12";"literatūra";"BĮ";"Alytaus Jurgio Kunčino viešoji biblioteka";"DĖMESIO! Dvi kartos traukinyje";"2400.00";
"23";"1.18";"muziejus";"BĮ";"Alytaus kraštotyros muziejus";"Interaktyvių programų įdiegimas ekspozicijos ""Kai sieloms neliko medžių"" terminaluose";"8000.00";
"24";"1.18";"muziejus";"BĮ";"Alytaus kraštotyros muziejus";"Alytaus kraštotyros muziejaus internetinės svetainės atnaujinimas";"3000.00";
"25";"1.11";"muzika";"VšĮ";"Alytaus kultūros ir komunikacijos centras";"Dainavos šalies muzikos festivalis";"3000.00";
"26";"1.2";"tarpsritiniai projektai";"Asociacija";"Alytaus miesto liaudies meno studija ""Dainava""";"Vaikų ir jaunimo liaudies meno festivalis ""Ateik, saulute, su pyragais""";"2000.00";
"27";"1.6";"teatras";"BĮ";"Alytaus miesto teatras";"Spektaklis pagal Upton Sinclair romaną „The Jungle“";"9000.00";
"28";"1.15";"mėgėjų menas";"Asociacija";"Ant rubežiaus";"XVIII-asis Lietuvos- Latvijos kaimo muzikantų ir kapelijų festivalis ""Ant rubežiaus""";"5000.00";
"29";"1.3";"dailė";"VšĮ";"Antano Mončio namai-muziejus";"Vasaros akademija pagal Mončį";"4000.00";
"30";"1.14";"etninė kultūra ir tautodailė";"BĮ";"Anykščių kultūros centras";"Jaunimo etninės kultūros ir keistojo folkloro stovykla - festivalis ""Folk - virus""";"4000.00";
"31";"1.15";"mėgėjų menas";"BĮ";"Anykščių kultūros centras";"Teatralizuotų renginių ciklas ""Nuo Viešintų iki Japonijos"", režisierių Galinos ir Vytauto Germanavičių atminimui";"2500.00";
"32";"1.2";"tarpsritiniai projektai";"BĮ";"Anykščių kultūros centras";"Tarptautinis lietuviškų mėgėjų teatrų festivalis ""ARTimi"" - 2015";"2700.00";
"33";"1.11";"muzika";"BĮ";"Anykščių menų centras";"Festivalis ""12 klasikinės muzikos savaitgalių Anykščiuose""";"3000.00";
"34";"1.18";"muziejus";"BĮ";"Anykščių menų centras";"Anykščių menų centro audiogido sukūrimas ir pritaikymas lankytojų asmeniniams mobiliems elektroniniams įrenginiams";"6000.00";
"35";"1.3";"dailė";"BĮ";"Anykščių menų centras";"Meno taku";"3000.00";
"36";"1.2";"tarpsritiniai projektai";"VšĮ";"Anykščių menų inkubatorius-menų studija";"Edukacinis projektas ""Pažink tarpukario Lietuvą""";"2400.00";
"37";"1.11";"muzika";"BĮ";"Anykščių muzikos mokykla";"Profesionalios muzikos festivalis ""Rubikiai- dainų kraštas""";"2000.00";
"38";"1.16";"biblioteka";"BĮ";"Anykščių rajono savivaldybės Liudvikos ir Stanislovo Didžiulių viešoji biblioteka";"Literatūriniai maršrutai anykštėnams ir svečiams: gidai – rašytojai, išmanioji programa";"5000.00";
"39";"1.6";"teatras";"Asociacija";"Anykščių šventės";"Lietuvos profesionalių teatrų nacionalinės dramaturgijos festivalis „Pakeleivingi 2015“";"10000.00";
"40";"1.14";"etninė kultūra ir tautodailė";"VšĮ";"Anykščių televizijos ir informacijos centras";"Filmas ""Liaudies amatų kelias""";"1500.00";
"41";"1.15";"mėgėjų menas";"Asociacija";"Anykštėnų menininkų asociacija";"Gatvės galerija 15";"1800.00";
"42";"1.10-";"šokis";"VšĮ";"Anželikos Cholinos šokio teatras";"A/CH teatro spektaklio Ana Karenina gastrolės į Kiniją";"10000.00";
"43";"1.2";"dizainas";"VšĮ";"Aplink tave";"LT Dizainas Minsko dizaino savaitėje";"4366.00";"Leidybos išlaidos"
"44";"1.12";"literatūra";"UAB";"Apostrofa";"Rolando Rastausko esė rinktinės ""Švitrinis žmogus"" išleidimas";"4000.00";
"45";"1.12";"literatūra";"UAB";"Apostrofa";"Alfonso Andriuškevičiaus knygos ""Beveik visi eilėraščiai"" išleidimas";"2700.00";
"46";"1.13";"kinas";"VšĮ";"Apricot Films";"Tarptautinės kino dailininkų kūrybinės dirbtuvės";"20000.00";
"47";"1.16";"biblioteka";"Asociacija";"Apskričių viešųjų bibliotekų asociacija";"Lietuviško paveldo pėdsakais Lenkijoje: kultūros tapatumo išsaugojimas ir sklaida tiriant paveldo objektus ir vykdant diskusiją su tarptautiniais partneriais";"9000.00";
"48";"1.16";"biblioteka";"Asociacija";"Apskričių viešųjų bibliotekų asociacija";"Apskričių viešosios bibliotekos Europoje: sinergija, bendradarbiavimas ir sąveika informacijos ir kultūros infrastruktūroje";"6000.00";
"49";"1.1";"architektūra";"UAB";"Archiforma";"Profesionalios ir reprezentatyvios šiuolaikinės lietuvių architektūros pristatymo kokybės klausimai";"10000.00";
"50";"1.1";"architektūra";"Labdaros i";"Architekto Algimanto Zavišos labdaros ir paramos fondas";"Architektūriniai sustojimai Kuršių nerijoje";"10000.00";
"51";"1.1";"architektūra";"VšĮ";"Architektūros fondas";"Europos architektūros studentų asamblėja 2016: ""Not Yet Decided""";"20000.00";
"52";"1.1";"architektūra";"VšĮ";"Architektūros fondas";"Architektūros (pokalbių) fondas 2015";"10000.00";
"53";"1.1";"architektūra";"VšĮ";"Architektūros fondas";"Architektūros (leidinių) fondas. ALF06 edukacija";"6200.00";
"54";"1.19";"kultūros paveldas";"VšĮ";"Architektūros fondas";"Architektūros (aktualijų) fondo edukacinių paskaitų ciklas ""UNESCO paveldas pasaulyje ir Lietuvoje""";"2200.00";
"55";"1.1";"architektūra";"Asociacija";"Architektūros studentų klubas";"Sikon XXVIII";"6700.00";
"56";"1.3";"dailė";"VšĮ";"Arkos dailės galerija";"Devintoji tarptautinė tekstilės meno miniatiūrų bienalė ""Iš dėžės / Out of the Box""";"5000.00";
"57";"1.3";"dailė";"VšĮ";"Arkos dailės galerija";"Trečioji KNYGOS MENO paroda";"4000.00";
"58";"1.11";"muzika";"VšĮ";"Ars & Sonoris";"Šiuolaikinės sakralios muzikos ciklai. Naujų muzikinių kūrinių Vėlinių oktavos laikotarpiui sukūrimas ir sklaida";"5000.00";
"59";"1.3";"dailė";"VšĮ";"Artnews.lt";"Echo Gone Wrong - Lietuvos ir Baltijos šalių meno žurnalas internete anglų kalba";"5000.00";
"60";"1.6";"teatras";"VšĮ";"Artūro Areimos teatras";"Spektaklio „Po ledu“ sukūrimas ir sklaida";"15000.00";
"61";"1.11";"muzika";"VšĮ";"ARVUS";"Styginių kvarteto Chordos koncertinės programos";"4000.00";
"62";"1.12";"literatūra";"VšĮ";"Aštuntoji diena";"Gilberto K. Chestertono knyga Rutulys ir Kryžius";"3000.00";
"63";"1.19";"kultūros paveldas";"UAB";"Atodangos";"Nekilnojamojo Kultūros paveldo skaitmenintų tyrimų sklaida. I etapas";"11300.00";"Ilgalaikio materialiojo ir nematerialiojo turto įsigijimo išlaidos"
"64";"1.2";"tarpsritiniai projektai";"Asociacija";"Aukime kartu";"Aš, tu ir mano mama";"5000.00";
"65";"1.3";"dailė";"VšĮ";"Auksakalių gildija";"Meno erdvė jauniems menininkams";"3000.00";"Ilgalaikio materialiojo ir nematerialiojo turto įsigijimo išlaidos"
"66";"1.3";"dailė";"VšĮ";"Auksakalių gildija";"VI tarptautinė emalio meno bienalė Vilnius 2015";"3000.00";
"67";"1.12";"literatūra";"VšĮ";"Aukso žuvys";"Linos Dūdaitės iliustruota knyga ""Metai. Poema rimtiems vaikams.""";"2700.00";
"68";"1.2";"tarpsritiniai projektai";"Asociacija";"Aukštaitijos menininkų susivienijimas";"Tarptautinis menininkų pleneras Lietuvos Didžiosios Kunigaikštystės istorijos kelias";"5000.00";
"69";"1.11";"muzika";"VšĮ";"Aukštaitijos Vargonų Muzikos Festivalis";"XIX Aukštaitijos vargonų muzikos festivalis";"2000.00";
"70";"1.3";"dailė";"VšĮ";"AV17";"Profesionaliojo lietuvių meno sklaida Rytų Lietuvoje";"3000.00";
"71";"1.3";"dailė";"VšĮ";"AV17";"Tarptautinių mainų projektas tarp Vanja Contemporary galerijos Didžiojoje Britanijoje ir AV17 galerijos Lietuvoje";"2000.00";
"72";"1.11";"muzika";"Labdaros i";"Balio Dvariono labdaros ir paramos fondas";"Dvidešimt penktasis tarptautinis jaunųjų menininkų seminaras ""Gintarinė svetainė 2015""";"2000.00";
"73";"1.11";"muzika";"VšĮ";"Baltijos renginiai";"XIII-asis tarptautinis džiazo vokalistų konkursas ""Jazz voices 2015""";"3000.00";
"74";"1.3";"dailė";"VšĮ";"Baltish Arts Magazine";"Helsinkio grupė";"3000.00";
"75";"1.15";"mėgėjų menas";"Asociacija";"Baltų centras";"VI tarptautinis folkloro konkursas-festivalis ""Saulės žiedas""";"10000.00";
"76";"1.2";"tarpsritiniai projektai";"Asociacija";"Baltų centras";"Tęstinis nacionalinis/ tarptautinis Kultūros kelias Baltų kelias";"8000.00";"Ilgalaikio materialiojo ir nematerialiojo turto įsigijimo išlaidos"
"77";"1.12";"literatūra";"UAB";"Baltų lankų leidyba";"Romaino Gary romano Karaliaus Saliamono baimė leidyba";"2700.00";
"78";"1.12";"literatūra";"UAB";"Baltų lankų leidyba";"Erico Landowskio knygos Kasdienės sąveikos leidyba";"2700.00";
"79";"1.12";"literatūra";"UAB";"Baltų lankų leidyba";"Davido Fricko studijos Artimieji, giminės, kaimynai parengimas spaudai";"2500.00";
"80";"1.12";"literatūra";"UAB";"Baltų lankų leidyba";"Rimvydo Petrausko istorinės studijos Lietuvių didikų giminės leidyba";"2500.00";
"81";"1.12";"literatūra";"UAB";"Baltų lankų leidyba";"Undinės Radzevičiūtės romano 180 leidyba";"1700.00";
"82";"1.11";"muzika";"VšĮ";"Banchetto Musicale";"XXV Senosios muzikos festivalis ""Banchetto musicale""";"20000.00";
"83";"1.11";"muzika";"VšĮ";"Banchetto Musicale";"Antoine Brumel. Mišios";"2000.00";
"84";"1.11";"muzika";"VšĮ";"Berniukų ir jaunuolių choras ""Ąžuoliukas""";"55-erių metų berniukų ir jaunimo choro ""Ąžuoliukas"" bei 35-erių metų ""Ąžuoliuko"" muzikos mokyklos jubiliejaus koncertas";"3000.00";
"85";"1.11";"muzika";"BĮ";"Birštono meno mokykla";"IX-asis tarptautinis ansamblių konkursas- festivalis ""Muzikuokime drauge - 2015"", skirtas Lietuvos Nepriklausomybės atkūrimo 25-osioms metinėms";"2000.00";
"86";"1.3";"dailė";"BĮ";"Birštono meno mokykla";"V-asis meno mokyklų dailės pleneras ""Birštono etiudai - 2015""";"1000.00";
"87";"1.18";"muziejus";"BĮ";"Birštono muziejus";"Audiogidas - pagalba muziejininkui";"6000.00";
"88";"1.12";"literatūra";"BĮ";"Birštono viešoji biblioteka";"Po žvaigždėtu vasaros dangum. Literatūriniai vakarai Birštone 2015 m.";"1500.00";
"89";"1.16";"biblioteka";"BĮ";"Birštono viešoji biblioteka";"Inovatyvių terapijų taikymas ir sklaida bibliotekoje";"1500.00";
"90";"1.18";"muziejus";"BĮ";"Biržų krašto muziejus ""Sėla""";"""Skaitmeninio turinio integravimas ir pritaikymas įvairių amžiaus grupių bei specialiųjų poreikių lankytojų edukacijai Biržų krašto muziejaus ""Sėla"" sovietinio laikotarpio ekspozicijoje";"6000.00";
"91";"1.6";"teatras";"BĮ";"Biržų kultūros centras";"XIX profesionalių teatrų festivalis „Žaldokynės kraštas“";"8000.00";
"92";"1.11";"muzika";"VšĮ";"Bistrampolio dvaras";"XIII Bistrampolio festivalis";"6000.00";
"93";"1.18";"muziejus";"VšĮ";"Bistrampolio dvaras";"Muziejaus įkūrimas buvusioje Bistrampolio dvaro ledainėje";"10000.00";
"94";"1.12";"literatūra";"VšĮ";"Brailio knyga";"Skaitome Brailiu 2015";"6300.00";
"95";"1.12";"literatūra";"VšĮ";"Brailio knyga";"Knygos M. Mažvydas ""Katekizmas"" leidimas Brailio raštu";"3200.00";
"96";"1.12";"literatūra";"VšĮ";"Brailio spauda";"Per knygą į pasaulį 2015";"20000.00";
"97";"1.11";"muzika";"VšĮ";"Cantus firmus";"Muzikos festivalis ""Ave Maria. Laiko ratu""";"10000.00";
"98";"1.11";"muzika";"VšĮ";"Cantus firmus";"Egidijus Buožis. Vienos kompozicijos istorija";"1750.00";
"99";"1.5";"tarpdisciplininis menas";"VšĮ";"Chance No5";"Eksperimentinės inžinerijos stovykla ""eeKūlgrinda""";"7000.00";
"100";"1.19";"kultūros paveldas";"UAB";"Charibdė";"Knygos Antanas Rimvydas Čaplinskas VILNIAUS GATVIŲ ISTORIJA. VALDOVŲ KELIAS. PILIES GATVĖ leidyba";"6700.00";
"101";"1.3";"dailė";"Asociacija";"Čiurlionio draugijos Senosios Varėnos skyrius";"M. K. Čiurlioniui 140- Artists revolution 2";"5000.00";
"102";"1.13";"kinas";"VšĮ";"Cultural & Media Consulting";"Baltijos jūros ir Šiaurės šalių animacijos ir video žaidimų festivalis ""Beautiful Land of Nevermind""";"10000.00";
"103";"1.2";"dizainas";"Asociacija";"Dizaino forumas";"Dizaino savaitė 2015";"12000.00";"Reklamos televizijoje išlaidos"
"104";"1.2";"dizainas";"Asociacija";"Dizaino forumas";"Nacionalinio prizo Geras dizainas apdovanojimai ir parodos Lietuvos miestuose";"9000.00";
"105";"1.11";"muzika";"VšĮ";"DOMUS ARTIS";"Tarptautinis kamerinės muzikos festivalis ""Muzikos ruduo 2015""";"10000.00";
"106";"1.12";"literatūra";"UAB";"Druka";"Literatūrinis - kultūrinis almanachas ""Baltija 2015""";"2000.00";
"107";"1.12";"literatūra";"UAB";"Druka";"Žemaičių kalbos skaitinių knygelė vaikams ""Cirulielis""";"1000.00";
"108";"1.14";"etninė kultūra ir tautodailė";"BĮ";"Druskininkų kultūros centras";"Respublikinis pasakotojų konkursas ""Žodis žodzį geną-2015"", skirtas Etnografinių regionų metams";"3200.00";
"109";"1.14";"etninė kultūra ir tautodailė";"BĮ";"Druskininkų kultūros centras";"3-asis tarptautinis edukacinės kalvystės pleneras ""Plieninė plaštakė 2015"", skirtas Etnografinių regionų metams";"3200.00";
"110";"1.15";"mėgėjų menas";"BĮ";"Druskininkų kultūros centras";"22-oji regioninė Dainavos krašto folkloro šventė, skirta Etnografinių regionų metams";"3500.00";
"111";"1.15";"mėgėjų menas";"BĮ";"Druskininkų kultūros centras";"Tarptautinis tautinių šokių festivalis ""Kadagynė"", skirtas etnografinių regionų metams paminėti";"2000.00";
"112";"1.15";"mėgėjų menas";"BĮ";"Druskininkų kultūros centras";"Kūrybinė laboratorija ""Druskos metamorfozės""";"1500.00";"Visos, išskyrus edukacinei veiklai vykdyti reikalingas išlaidos"
"113";"1.15";"mėgėjų menas";"BĮ";"Druskininkų kultūros centras";"Kompaktinės plokštelės ""Taip toli girdėti"" leidyba";"1400.00";
"114";"1.11";"muzika";"VšĮ";"Džiazo namai";"Penkioliktas tarptautinis muzikos festivalis ""Nida jazz maratonas 2015""";"4000.00";
"115";"1.15";"mėgėjų menas";"BĮ";"Dzūkijos nacionalinio parko ir Čepkelių valstybinio gamtinio rezervato direkcija";"Folkloro festivalis ""Subatėlės vakarėly..."" 10-oji jubiliejinė šventė, skirta etnografinių regionų metams";"2000.00";
"116";"1.11";"muzika";"BĮ";"Elektrėnų kultūros centras";"VIII džiazo festivalis ""Jaunystė 2015""";"5000.00";
"117";"1.2";"tarpsritiniai projektai";"VšĮ";"Elijos vėjarožė";"VI-asis tarptautinis liaudies dainų, šokių ir muzikos festivalis ""Nepalikim su negalia vienų""";"2000.00";
"118";"1.15";"mėgėjų menas";"BĮ";"Eržvilko kultūros centras";"Respublikinis bandonininkų festivalis ""Antanų polka"" ir kūrybinės stovyklos jaunimui ""Mikutis"" organizavimas";"3000.00";
"119";"1.14";"etninė kultūra ir tautodailė";"Asociacija";"Folkloro klubas Kupkėmis";"Tarptautinė folkloro šventė Kupos kiemi - paukštlakis";"4600.00";
"120";"1.5";"tarpdisciplininis menas";"MB";"Galerija ""Vartai""";"Tarpdisciplininė menininkų paroda";"5000.00";
"121";"1.18";"muziejus";"BĮ";"Gargždų krašto muziejus";"Gargždų krašto muziejaus ekspozicijos ""Senųjų Gargždų vaizdai"" II-asis atnaujinimo etapas";"3500.00";
"122";"1.2";"tarpsritiniai projektai";"BĮ";"Gargždų kultūros centras";"Keturių vandenų festivalis";"5000.00";
"123";"1.15";"mėgėjų menas";"Asociacija";"Garliavos bendruomenės centras ""Gaida""";"Tarptautinis vaikų ir jaunimo lietuviškos patriotinės dainos konkursas-festivalis";"2000.00";"Projekto vadovo ir darbuotojų darbo užmokestis"
"124";"1.12";"literatūra";"UAB";"Garnelis";"A. Lindgren knygos vaikams ir jaunimui Brita Mari išlieja širdį leidyba";"2700.00";
"125";"1.12";"literatūra";"UAB";"Garnelis";"R. Dahl knygos vaikams Kvankos leidyba";"2000.00";
"126";"1.2";"tarpsritiniai projektai";"VšĮ";"Garsai ir blyksniai";"Juzeliūno kabinetas: modernėjantis lietuviškumas";"11300.00";
"127";"1.12";"literatūra";"VšĮ";"Gelmės";"Ramutės Skučaitės knygos ""Koks gi čia žodis pasirodys?"" leidyba";"2000.00";
"128";"1.3";"dailė";"VšĮ";"Ibid projektai";"Chaoso riba (Išvarymas iš Rojaus)";"20000.00";
"129";"1.16";"biblioteka";"BĮ";"Ignalinos rajono savivaldybės viešoji biblioteka";"Inovatyvių technologijų ir kūrybiškumo taikymas populiarinant bibliotekos paslaugas jaunimui";"1500.00";
"130";"1.11";"muzika";"VšĮ";"Impetus musicus";"Penkiasdešimtasis fortepijoninių rečitalių ciklas M, K. Čiurlionio memorialiniame muziejuje Druskininkuose";"4500.00";
"131";"1.11";"muzika";"VšĮ";"Impetus musicus";"Tarptautinis muzikos ir ekologijos festivalis ""Nepaklusniųjų žemė XI""";"2500.00";
"132";"1.13";"kinas";"Asociacija";"In corpore";"Kino programa Jauni balsai";"4000.00";
"133";"1.19";"kultūros paveldas";"VšĮ";"Iniciatyvų vystymo centras";"Alternatyvus audio gidas";"3200.00";
"134";"1.5";"tarpdisciplininis menas";"VšĮ";"Institutio media";"Migrating Art Academies. Crime Scene";"8000.00";"Ilgalaikio materialiojo ir nematerialiojo turto įsigijimo išlaidos"
"135";"1.3";"dailė";"UAB";"Inter Se";"Knygos ""Vincas Kisarauskas 1934-1988 išleidimas""";"8000.00";
"136";"1.3";"dailė";"UAB";"INTER SE";"Knygos ""Svajonė&Paulius Stanikai"" išleidimas";"6000.00";
"137";"1.11";"muzika";"VšĮ";"Iš arti";"Šiuolaikinės muzikos festivalis ""Iš arti""";"25000.00";
"138";"1.14";"etninė kultūra ir tautodailė";"Asociacija";"Jaunimo bendrija ""Sėlos Ramuva""";"Atmerktos Obelių miesto akys";"2000.00";
"139";"1.14";"etninė kultūra ir tautodailė";"BĮ";"Jiezno kultūros ir laisvalaikio centras";"Pažintis su tradiciniu Jiezno krašto kostiumu (skirta jieznietės audėjos Bronės Urlikienės tradicinio audimo 50-ies metų jubiliejui)";"2100.00";
"140";"1.11";"muzika";"VšĮ";"JJJAZZ";"Kaunas Jazz ruduo 2015";"5000.00";"Ilgalaikio materialiojo ir nematerialiojo turto įsigijimo išlaidos"
"141";"1.14";"etninė kultūra ir tautodailė";"BĮ";"Jonavos krašto muziejus";"Tradicinių amatų gaivinimas Jonavos rajone";"2100.00";
"142";"1.18";"muziejus";"BĮ";"Jonavos krašto muziejus";"Samulevičių memorialinės sodybos ekspozicijos atnaujinimas ir pritaikymas visuomenės reikmėms";"5000.00";
"143";"1.15";"mėgėjų menas";"BĮ";"Jonavos rajono savivaldybės kultūros centras";"Tarptautinis chorinės muzikos festivalis ""Šviesa amžinoji dainos""";"2000.00";
"144";"1.3";"dailė";"BĮ";"Joniškio istorijos ir kultūros muziejus";"Žiemgalos krašto dailininkų pleneras Žagarėje";"2000.00";
"145";"1.14";"etninė kultūra ir tautodailė";"BĮ";"Joniškio kultūros centras";"Respublikinė tautodailininkų tapybos darbų paroda ""Etnografinių regionų dvasia Lietuvos tautodailėje"", skirta A.Varno premijai laimėti";"2800.00";
"146";"1.5";"tarpdisciplininis menas";"VšĮ";"Jono Meko vizualiųjų menų centras";"Fluxus parodos katalogo sudarymas ir leidyba";"5000.00";
"147";"1.5";"tarpdisciplininis menas";"VšĮ";"Jono Meko vizualiųjų menų centras";"Jono Meko vizualiųjų menų centro tarpdisciplininių parodų ciklas";"4000.00";
"148";"1.6";"teatras";"BĮ";"Juozo Miltinio dramos teatras";"Spektaklio „Rūkas virš slėnių“ pagal to paties pavadinimo Romualdo Granausko romaną sukūrimas";"15000.00";
"149";"1.6";"teatras";"BĮ";"Juozo Miltinio dramos teatras";"Spektaklio „Chefecas“ pagal Hanochą Leviną pastatymas ir sklaida";"12000.00";
"150";"1.18";"muziejus";"BĮ";"Jurbarko krašto muziejus";"Skulptoriui Vincui Grybui 125";"2000.00";
"151";"1.3";"dailė";"BĮ";"Jurbarko r. Vadžgirio pagrindinė mokykla";"Sienų dekoras Vadžgirio mokykloje";"2000.00";
"152";"1.2";"tarpsritiniai projektai";"BĮ";"Kaišiadorių kultūros centras";"Keltas vakar ir šiandien";"2400.00";
"153";"1.14";"etninė kultūra ir tautodailė";"BĮ";"Kaišiadorių muziejus";"Tęstinis projektas ""Iliustruotoji Kaišiadorių etnografija"" - iliustracijų papilydymas ir knygos leidyba";"3300.00";
"154";"1.12";"literatūra";"UAB";"Katalikų pasaulio leidiniai";"Simone Weil knygos ""Sunkis ir malonė"" leidyba";"1500.00";
"155";"1.12";"literatūra";"VšĮ";"Kauko laiptai";"Pilkoji Algirdo Verbos žvaigždė";"3000.00";
"156";"1.12";"literatūra";"VšĮ";"Kauko laiptai";"Vladas Kalvaitis ""Balandis ir bandonija""";"2500.00";
"157";"1.11";"muzika";"Asociacija";"Kauno akordeonistų draugija";"XI-asis tarptautinis akordeonistų konkursas- festivalis ""ASCOLTATE""";"4000.00";
"158";"1.12";"literatūra";"BĮ";"Kauno apskrities viešoji biblioteka";"Auksinis laureatų ruduo";"2000.00";
"159";"1.16";"biblioteka";"BĮ";"Kauno apskrities viešoji biblioteka";"Senosios knygos slėpiniai";"5000.00";
"160";"1.16";"biblioteka";"BĮ";"Kauno apskrities viešoji biblioteka";"Pasakos gestų kalba";"5000.00";
"161";"1.16";"biblioteka";"BĮ";"Kauno apskrities viešoji biblioteka";"Inovacijų laboratorija ILaB 2 (tęstinis projektas)";"3000.00";
"162";"1.16";"biblioteka";"BĮ";"Kauno apskrities viešoji biblioteka";"Sudėtingi vartotojai bibliotekoje: bendravimas ir aptarnavimas";"2000.00";
"163";"1.17";"archyvas";"BĮ";"Kauno apskrities archyvas";"Nacionalinio dokumentų fondo dalies restauravimas ir prevencinis konservavimas";"8000.00";
"164";"1.17";"archyvas";"BĮ";"Kauno apskrities archyvas";"Kauno miesto savivalda, jos raida istorijos šaltiniuose ir bendruomeniškumo ugdymas";"3600.00";
"165";"1.5";"tarpdisciplininis menas";"VšĮ";"Kauno bienalė";"Tekst[il]iniai maršrutai (II-as etapas)";"8000.00";
"166";"1.15";"mėgėjų menas";"Asociacija";"Kauno etninės veiklos klubas";"Tarptautinis modernaus ir tradicinio folkloro festivalis Suklegos";"5000.00";
"167";"1.15";"mėgėjų menas";"Asociacija";"Kauno folkloro klubas ""Liktužė""";"Liaudies tradicijų ir folkloro festivalis ""Rasos Sūduvoje""";"2000.00";
"168";"1.14";"etninė kultūra ir tautodailė";"Asociacija";"Kauno folkloro klubas ""Uosinta""";"Lietuvos etnografinių regionų tradiciniai dainavimo stiliai";"2000.00";
"169";"1.6";"teatras";"BĮ";"Kauno kamerinis teatras";"Spektaklis „Akmenys jo kišenėje“";"14000.00";
"170";"1.15";"mėgėjų menas";"BĮ";"Kauno kultūros centras ""Tautos namai""";"43-asis mėgėjų teatrų festivalis ""Kauno rampa 2015""";"1500.00";
"171";"1.10-";"šokis";"BĮ";"Kauno menininkų namai";"Šiuolaikinio šokio spektaklis GARBĖ MOČIUTĖMS";"5000.00";
"172";"1.12";"literatūra";"BĮ";"Kauno menininkų namai";"Informacijos apie Lietuvos profesionaliosios literatūros procesus sklaida portale Kamane.lt";"4500.00";
"173";"1.18";"muziejus";"BĮ";"Kauno miesto muziejus";"Kauno miesto muziejaus lietuvių tautinės muzikos instrumentų muziejaus ekspozicijos atnaujinimas ir pritaikymas vaikams ir jaunimui diegiant inovatyvias technologijas";"25000.00";
